A deep understanding of AI large language model mechanisms,,,,
Section name,Video lecture title,Python code file name,Udemy video #,Key take-home points
Introductions,[IMPORTANT] Prerequisites and how to succeed in this course,-,1,"LLM architecture, training, and mechanisms are advanced topics. Have a positive attitude and embrace the challenge.
Taking notes by hand helps you learn more and remember better. Lecture notes are not available.
Having experience with coding, linear algebra, maching learning, and deep learning will help you excel in this course, although these topics are introduced in the course as they are necessary.
You can choose which lectures to watch and to skip, but keep in mind that knowledge and skills are cumulative."
,Using the Udemy platform,-,2,-
,"Getting the course code, and the detailed overview",-,3,-
,Do you need a Colab Pro subscription?,-,4,"You can access GPUs for free on Google Colab, though compute time and RAM are limited.
Most of this course can be done on the CPU and limited GPU (free colab plan), but will be slower.
Paying to upgrade to Colab Pro will be convenient for many lectures but is not necessary.
You can upgrade to Pro and downgrade after the course."
,"About the ""CodeChallenge"" videos",-,5,"You are the master of your education, and you should engage with this course in a way that best suits your skills and goals.
Use different difficulty levels for different videos.
Watch the code demos, even if you aren’t coding yourself."
Part 1: Tokenizations and embeddings,,-,,
Words to tokens to numbers,Why text needs to be numbered,-,7,"Text must be transformed into numbers before LLM.
A chunk of text is a “token” and can be a character, subword, or full word.
Embeddings are dense representations of tokens.
Tokenization and embeddings are learned from data, and there are many ways to create these schemes."
,Parsing text to numbered tokens,part1_text2num_text2numbers,8,"Text can be split into words via spaces, although this is not done in real tokenization.
Encoder and decoder functions are simple look-up tables.
Tokenization (encoding text using integers) is conceptually straightforward."
,CodeChallenge: Create and visualize tokens (part 1),part1_text2num_CCmakeATokenizer,9,"Encoders and decoders are created using dictionary comprehension and functions.
The “context” of a token is its neighbors (before and possibly after); “context window” is the number of neighbors."
,CodeChallenge: Create and visualize tokens (part 2),part1_text2num_CCmakeATokenizer,10,"“One-hot encoding” is a sparse tokenization, with one row per token and one column per vocab item."
,Preparing text for tokenization,part1_text2num_preparingText4tokens,11,"Real text from the web is easy to import but a pain to clean…
Creating a tokenizing scheme is tricky and involves many choices with few clear optimal decisions.
Encoders and decoders are easy to create and use."
,CodeChallenge: Tokenizing The Time Machine,part1_text2num_CCtimeMachineTokens,12,"Randomly generated tokens are usually nonsensical.
There is a mathematical relationship between word length and frequency (more on this later!), which has implications for LLM performance.
Tokenizers need special characters to deal with unknown tokens."
,Tokenizing characters vs. subwords vs. words,-,13,"Every tokenization scheme has advantages and limitations.
Current best tokenizers use a combination of characters, subwords, and words.
The vocab is learned based on statistical characteristics of human-written text."
,Byte-pair encoding algorithm,part1_text2num_bytePairEncoding,14,"The BPE algorithm is based on replacing frequent token sequences with new tokens.
The basic BPE algorithm is simple and easy to implement.
Production-level tokenizers add several more steps to ensure accuracy, efficiency, and speed."
,CodeChallenge: Byte-pair encoding to a desired vocab size,part1_text2num_CCbytePairEncodingLoop,15,"Even simple byte-pair encoding on a tiny datset creates tokens with preceeding spaces, just like professional tokenizers."
,Exploring ChatGPT4's tokenizer,part1_text2num_GPT4tokenizer,16,"OpenAI’s tokenizer is available, but is model-specific (e.g., GPT2 vs. GPT4).
Tokenizers use character- subword- and word-level tokens. Preceding spaces are part of tokens.
No text preprocessing is necessary! Just feed all the text into the tokenizer."
,CodeChallenge: Token count by subword length (part 1),part1_text2num_CCtokenEfficiency,17,"Words and tokens differ in several ways, though they can overlap.
Words vary in their encoding efficiency, which is partly related to how often they appear in texts."
,CodeChallenge: Token count by subword length (part 2),part1_text2num_CCtokenEfficiency,18,"Words and tokens differ in several ways, though they can overlap.
Words vary in their encoding efficiency, which is partly related to how often they appear in texts."
